#Ellogon: Document File
# This is an Auto-generated File. Please DO NOT EDIT.
# Ellogon CDM version 1.0 - August 1999 - September 2002
#  This file is used by the "Ellogon" Text Engineering Platform,
#  and contains an "Ellogon" CDM Document specification...
#  File Encoding: utf-8
Encoding::utf-8
FileFormat::5
Translation::crlf
ExternalID::/home/petasis/stasinos/articles/1187.avgi.html.txt
ID::1187.avgi.html.txt
AnnotationMaxID::828
Attributes::22
Intellitech_NERC_QuickDomain {GDM_STRING {}}
Intellitech_NERC_Filter {GDM_STRING {}}
language_greek {GDM_STRING {}}
Intellitech_NERC_TagWithGrammar {GDM_STRING {}}
Gazetteer {GDM_STRING {}}
HTokenizer {GDM_STRING {}}
language {GDM_STRING hellenic}
newspaper {GDM_STRING www.avgi.gr}
Intellitech_NERC_Descriptors {GDM_STRING {}}
CRF_Tag {GDM_STRING {}}
Intellitech_NERC_FlattenOverlappingNEs {GDM_STRING {}}
domain {GDM_STRING telecommunications}
Intellitech_NERC_Dissambiguator {GDM_STRING {}}
Intellitech_NERC_FilterWithContext {GDM_STRING {}}
title {GDM_STRING {Αντιμετωπίζουν το νέφος με συστάσεις για τα τζάκια}}
273 token {{1692 1698}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
274 token {{1699 1707}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
275 token {{1707 1708}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
276 sentence {{1609 1708}} {{constituents {GDM_STRING_SET {260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275}}}}
277 token {{1709 1711}} {{type {GDM_STRING GFW}} {pos {GDM_STRING IN}}}
278 token {{1712 1721}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
279 token {{1722 1729}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
280 token {{1730 1733}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
281 token {{1734 1742}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
282 token {{1743 1747}} {{type {GDM_STRING GUW}} {pos {GDM_STRING AB}}}
283 token {{1748 1750}} {{type {GDM_STRING ABBREV}} {pos {GDM_STRING AB}}}
284 token {{1751 1758}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNPM}}}
285 token {{1758 1759}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
286 token {{1760 1762}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
287 token {{1763 1773}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
288 token {{1774 1777}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
289 token {{1778 1788}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJN}}}
290 token {{1789 1797}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJN}}}
291 token {{1798 1808}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNN}}}
292 token {{1809 1812}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
293 token {{1813 1816}} {{type {GDM_STRING GUW}} {pos {GDM_STRING AB}}}
294 token {{1817 1819}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
295 token {{1820 1825}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
296 token {{1826 1832}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
297 token {{1833 1838}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
298 token {{1839 1842}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
299 token {{1843 1851}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CD}}}
300 token {{1852 1858}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
301 token {{1859 1865}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
302 token {{1866 1869}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
303 token {{1870 1873}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
304 token {{1874 1880}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
305 token {{1881 1890}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBPD}}}
306 token {{1891 1899}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
307 token {{1900 1911}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
308 token {{1912 1914}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
309 token {{1915 1928}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
310 token {{1929 1938}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
311 token {{1939 1948}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
312 token {{1949 1958}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
313 token {{1959 1963}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
314 token {{1964 1967}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
315 token {{1968 1974}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
316 token {{1975 1978}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
317 token {{1979 1985}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
318 token {{1985 1986}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
319 sentence {{1709 1986}} {{constituents {GDM_STRING_SET {277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318}}}}
320 token {{1987 1992}} {{type {GDM_STRING GFW}} {pos {GDM_STRING RB}}}
321 token {{1992 1993}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
322 token {{1994 1996}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
323 token {{1997 2006}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
324 token {{2007 2014}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
325 token {{2015 2018}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
326 token {{2019 2029}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
327 token {{2030 2034}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNPM}} {descriptor {GDM_STRING PFN}}}
328 token {{2035 2047}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNPM}}}
329 token {{2048 2058}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
330 token {{2059 2062}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
331 token {{2063 2072}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
332 token {{2073 2083}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJN}}}
333 token {{2084 2094}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
334 token {{2094 2095}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
335 token {{2096 2098}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
336 token {{2099 2108}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNN}}}
337 token {{2109 2118}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNSF}}}
338 token {{2119 2130}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNF}}}
339 token {{2130 2131}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
340 token {{2132 2134}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
341 token {{2135 2140}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
342 token {{2141 2143}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
343 token {{2144 2153}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBF}}}
344 token {{2154 2163}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJN}}}
345 token {{2164 2169}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
346 token {{2170 2172}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
347 token {{2173 2180}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
348 token {{2181 2184}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
349 token {{2185 2188}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
350 token {{2189 2192}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
351 token {{2193 2203}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
352 token {{2204 2209}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
353 token {{2210 2213}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
354 token {{2214 2223}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNF}}}
355 token {{2224 2227}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
356 token {{2228 2233}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
357 token {{2233 2234}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
358 sentence {{1987 2234}} {{constituents {GDM_STRING_SET {320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357}}}}
359 token {{2235 2238}} {{type {GDM_STRING GFW}} {pos {GDM_STRING IN}}}
360 token {{2239 2242}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
361 token {{2243 2249}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
362 token {{2250 2255}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
363 token {{2256 2263}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
364 token {{2264 2266}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
365 token {{2267 2271}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
366 token {{2272 2276}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IDT}}}
367 token {{2277 2281}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
368 token {{2282 2288}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJM}}}
369 token {{2289 2296}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
370 token {{2297 2302}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBD}}}
371 token {{2303 2307}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
372 token {{2308 2311}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
373 token {{2312 2319}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
374 token {{2320 2321}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
375 token {{2322 2330}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
376 token {{2331 2337}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNF}}}
377 token {{2338 2341}} {{type {GDM_STRING ABBREV}} {pos {GDM_STRING AB}}}
378 token {{2342 2352}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNPM}}}
379 token {{2352 2353}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
380 token {{2354 2358}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
381 token {{2359 2361}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
382 token {{2362 2367}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
383 token {{2368 2371}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
384 token {{2372 2379}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
385 token {{2380 2388}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
386 token {{2389 2392}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
387 token {{2393 2395}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
388 token {{2396 2406}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
389 token {{2407 2414}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
390 token {{2415 2423}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
391 token {{2423 2424}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING :}}}
392 sentence {{2235 2424}} {{constituents {GDM_STRING_SET {359 360 361 362 363 364 365 366 367 368 369 370 371 372 373 374 375 376 377 378 379 380 381 382 383 384 385 386 387 388 389 390 391}}}}
393 token {{2425 2426}} {{type {GDM_STRING APOSTR}} {pos {GDM_STRING (}}}
394 token {{2426 2434}} {{type {GDM_STRING GFW}} {pos {GDM_STRING RB}}}
395 token {{2435 2438}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
396 token {{2439 2448}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
397 token {{2449 2452}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
398 token {{2453 2463}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
399 token {{2463 2464}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
400 token {{2465 2471}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
401 token {{2472 2474}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
402 token {{2475 2477}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
403 token {{2478 2492}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
404 token {{2493 2498}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
405 token {{2499 2505}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
406 token {{2506 2508}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
407 token {{2509 2512}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
408 token {{2513 2516}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
409 token {{2516 2517}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
410 token {{2518 2524}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
411 token {{2525 2528}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
412 token {{2529 2532}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
413 token {{2533 2536}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
414 token {{2537 2538}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
415 token {{2539 2542}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
416 token {{2543 2546}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
417 token {{2547 2555}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
418 token {{2555 2556}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
419 token {{2557 2565}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
420 token {{2566 2574}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
421 token {{2575 2580}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
422 token {{2581 2586}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
423 token {{2587 2589}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
424 token {{2590 2595}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
425 token {{2596 2601}} {{type {GDM_STRING GLW}} {pos {GDM_STRING MD}}}
426 token {{2602 2614}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
427 token {{2615 2618}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
428 token {{2619 2622}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
429 token {{2623 2635}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
430 token {{2635 2636}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
431 sentence {{2425 2636}} {{constituents {GDM_STRING_SET {393 394 395 396 397 398 399 400 401 402 403 404 405 406 407 408 409 410 411 412 413 414 415 416 417 418 419 420 421 422 423 424 425 426 427 428 429 430}}}}
432 token {{2637 2650}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNN}}}
433 token {{2651 2656}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
434 token {{2656 2657}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
435 token {{2658 2662}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
436 token {{2663 2669}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBDS}}}
437 token {{2670 2672}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
438 token {{2673 2680}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
439 token {{2680 2681}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
440 sentence {{2637 2681}} {{constituents {GDM_STRING_SET {432 433 434 435 436 437 438 439}}}}
441 token {{2682 2683}} {{type {GDM_STRING GUW}} {pos {GDM_STRING DDT}}}
442 token {{2684 2691}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
443 token {{2692 2697}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
444 token {{2698 2700}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
445 token {{2701 2706}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CD}}}
446 token {{2707 2712}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
447 token {{2713 2717}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
448 token {{2718 2722}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
449 token {{2723 2725}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
450 token {{2726 2737}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
451 token {{2738 2741}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
452 token {{2742 2747}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
453 token {{2748 2751}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
454 token {{2752 2753}} {{type {GDM_STRING APOSTR}} {pos {GDM_STRING (}}}
455 token {{2753 2759}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
456 token {{2760 2764}} {{type {GDM_STRING GLW}} {pos {GDM_STRING INP}}}
457 token {{2764 2765}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
458 token {{2766 2768}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
459 token {{2769 2777}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
460 token {{2778 2785}} {{type {GDM_STRING GLW}} {pos {GDM_STRING INP}}}
461 token {{2786 2789}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
462 token {{2790 2794}} {{type {GDM_STRING GLW}} {pos {GDM_STRING PRP}}}
463 token {{2795 2796}} {{type {GDM_STRING SYMBOL}} {pos {GDM_STRING SYM}}}
464 token {{2796 2802}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
465 token {{2803 2808}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
466 token {{2809 2812}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
467 token {{2813 2819}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
468 token {{2820 2825}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
469 token {{2825 2826}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
470 token {{2827 2830}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
471 token {{2831 2837}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
472 token {{2838 2841}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
473 token {{2842 2849}} {{type {GDM_STRING GLW}} {pos {GDM_STRING INP}}}
474 token {{2850 2853}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
475 token {{2854 2857}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
476 token {{2858 2862}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
477 token {{2863 2867}} {{type {GDM_STRING GLW}} {pos {GDM_STRING INP}}}
478 token {{2868 2878}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJN}}}
479 token {{2879 2883}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJM}}}
480 token {{2883 2884}} {{type {GDM_STRING SYMBOL}} {pos {GDM_STRING SYM}}}
481 token {{2885 2887}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
482 token {{2888 2891}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
483 token {{2892 2899}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
484 token {{2900 2902}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
485 token {{2903 2908}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
486 token {{2909 2914}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IP}}}
487 token {{2915 2918}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
488 token {{2919 2925}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
489 token {{2925 2926}} {{type {GDM_STRING APOSTR}} {pos {GDM_STRING )}}}
490 token {{2926 2927}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
491 token {{2928 2931}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
492 token {{2932 2935}} {{type {GDM_STRING GLW}} {pos {GDM_STRING INP}}}
493 token {{2935 2936}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
494 token {{2937 2940}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CD}}}
495 token {{2940 2941}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
496 token {{2942 2947}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CD}}}
497 token {{2948 2954}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
498 token {{2955 2959}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
499 token {{2960 2967}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
500 token {{2968 2970}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
501 token {{2971 2984}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJN}}}
502 token {{2985 2994}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
503 token {{2995 2998}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
504 token {{2999 3009}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
505 token {{3009 3010}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
506 token {{3011 3015}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
507 token {{3016 3018}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
508 token {{3019 3022}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
509 token {{3023 3035}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
510 token {{3036 3045}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
511 token {{3046 3047}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
512 token {{3048 3058}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
513 token {{3058 3059}} {{type {GDM_STRING APOSTR}} {pos {GDM_STRING )}}}
514 token {{3059 3060}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
515 sentence {{2682 3060}} {{constituents {GDM_STRING_SET {441 442 443 444 445 446 447 448 449 450 451 452 453 454 455 456 457 458 459 460 461 462 463 464 465 466 467 468 469 470 471 472 473 474 475 476 477 478 479 480 481 482 483 484 485 486 487 488 489 490 491 492 493 494 495 496 497 498 499 500 501 502 503 504 505 506 507 508 509 510 511 512 513 514}}}}
516 token {{3061 3068}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNSM}}}
517 token {{3068 3069}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING :}}}
518 token {{3070 3078}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNSF}}}
519 token {{3079 3081}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
520 token {{3082 3091}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
521 token {{3092 3094}} {{type {GDM_STRING GFW}} {pos {GDM_STRING RB}}}
522 token {{3095 3096}} {{type {GDM_STRING APOSTR}} {pos {GDM_STRING )}}}
523 token {{3096 3104}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
524 token {{3105 3108}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
525 token {{3109 3117}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
526 token {{3117 3118}} {{type {GDM_STRING APOSTR}} {pos {GDM_STRING )}}}
527 token {{3119 3131}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
528 token {{3132 3133}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
529 token {{3134 3142}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJM}}}
530 token {{3143 3151}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNM}}}
531 token {{3152 3158}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNPSF}}}
532 token {{3159 3160}} {{type {GDM_STRING LPAR}} {pos {GDM_STRING (}}}
533 token {{3160 3163}} {{type {GDM_STRING GUW}} {pos {GDM_STRING RB}}}
534 token {{3163 3164}} {{type {GDM_STRING RPAR}} {pos {GDM_STRING )}}}
535 token {{3165 3168}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
536 token {{3169 3179}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
537 token {{3180 3183}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
538 token {{3184 3196}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
539 token {{3197 3201}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
540 token {{3202 3207}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
541 token {{3208 3211}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
542 token {{3212 3219}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
543 token {{3220 3223}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
544 token {{3224 3235}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
545 token {{3236 3239}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
546 token {{3240 3241}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
547 token {{3242 3252}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJM}}}
548 token {{3253 3263}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNM}}}
549 token {{3264 3270}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNF}}}
550 token {{3271 3283}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
551 token {{3284 3293}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
552 token {{3294 3301}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
553 token {{3302 3307}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
554 token {{3308 3310}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
